"method","test_season","season","geo_level","K","lambda_K","n_weeks"
"redcapaug","2023/24",NA,"cluster",15,0.563777858173257,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",21,0.588183576703529,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",23,0.613072448503084,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",31,0.641293860978127,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",45,0.68292921123669,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",61,0.717151845780723,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",7,0.312767120573803,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",9,0.324415093875802,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2024/25",NA,"cluster",15,0.392977616440072,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",21,0.432514285902133,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",23,0.435992357809268,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",31,0.455451270581387,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",45,0.610628074628833,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",61,0.652303012742904,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",7,0.277972652873801,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",9,0.325828643827468,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2025/26",NA,"cluster",15,0.519352349870852,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",21,0.547116949376514,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",23,0.570881569200576,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",31,0.596980289765603,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",45,0.688989904033951,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",61,0.713145472772371,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",7,0.38990813823432,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","2025/26",NA,"cluster",9,0.437954763176839,26
"redcapaug","2025/26",NA,"rac",22,0.620463726706863,26
"redcapaug","2025/26",NA,"dshs",8,0.478738291022101,26
"redcapaug","2025/26",NA,"hsa",61,0.76844338042324,26
"redcapaug","2025/26","2025/26","state",1,0,26
"redcapaug","2025/26","2025/26","county",254,1,26
"redcapaug","Overall","Overall","cluster",7,0.326882637227308,78
"redcapaug","Overall","Overall","cluster",9,0.362732833626703,78
"redcapaug","Overall","Overall","cluster",15,0.492035941494727,78
"redcapaug","Overall","Overall","cluster",21,0.522604937327392,78
"redcapaug","Overall","Overall","cluster",23,0.539982125170976,78
"redcapaug","Overall","Overall","cluster",31,0.564575140441706,78
"redcapaug","Overall","Overall","cluster",45,0.660849063299825,78
"redcapaug","Overall","Overall","cluster",61,0.694200110431999,78
"redcapaug","Overall","Overall","county",254,1,624
"redcapaug","Overall","Overall","dshs",8,0.462266016888432,624
"redcapaug","Overall","Overall","hsa",61,0.754251013620664,624
"redcapaug","Overall","Overall","rac",22,0.601278917358136,624
"redcapaug","Overall","Overall","state",1,0,624
